dataset,n,m,dgy,cclos,t
data/AS-oregon-1.txt.gz,11174,23409,17,75,0.03
data/AS-oregon-2.txt.gz,11461,32730,31,118,0.05
data/BioGrid-Affinity-Capture-Luminescence.txt.gz,1840,2312,6,38,0.00
data/BioGrid-Affinity-Capture-Ms.txt.gz,40495,321887,58,843,0.81
data/BioGrid-Affinity-Capture-Rna.txt.gz,13765,42815,54,1630,0.25
data/BioGrid-Affinity-Capture-Western.txt.gz,21028,64046,17,93,0.10
data/BioGrid-All.txt.gz,75550,1316843,191,1792,4.00
data/BioGrid-Arabidopsis-Thaliana-Columbia.txt.gz,10417,47916,26,385,0.05
data/BioGrid-Biochemical-Activity.txt.gz,8620,17746,11,182,0.03
data/BioGrid-Bos-Taurus.txt.gz,454,424,3,7,0.01
data/BioGrid-Caenorhabditis-Elegans.txt.gz,6394,23646,64,82,0.03
data/BioGrid-Candida-Albicans-Sc5314.txt.gz,1121,1609,9,64,0.01
data/BioGrid-Canis-Familiaris.txt.gz,143,125,2,3,0.00
data/BioGrid-Chemicals.txt.gz,33266,28093,1,2,0.10
data/BioGrid-Co-Crystal-Structure.txt.gz,2291,2021,5,6,0.01
data/BioGrid-Co-Fractionation.txt.gz,11017,56354,83,84,0.06
data/BioGrid-Co-Localization.txt.gz,3543,4452,6,25,0.01
data/BioGrid-Co-Purification.txt.gz,4326,5970,12,71,0.01
data/BioGrid-Cricetulus-Griseus.txt.gz,69,57,1,2,0.00
data/BioGrid-Danio-Rerio.txt.gz,261,266,3,4,0.01
data/BioGrid-Dictyostelium-Discoideum-Ax4.txt.gz,27,20,1,2,0.01
data/BioGrid-Dosage-Growth-Defect.txt.gz,1447,2193,5,70,0.02
data/BioGrid-Dosage-Lethality.txt.gz,1776,2289,4,33,0.02
data/BioGrid-Dosage-Rescue.txt.gz,3380,6444,7,35,0.03
data/BioGrid-Drosophila-Melanogaster.txt.gz,9330,60556,83,115,0.13
data/BioGrid-Emericella-Nidulans-Fgsc-A4.txt.gz,64,62,2,3,0.00
data/BioGrid-Escherichia-Coli-K12-Mg1655.txt.gz,1273,1889,5,13,0.01
data/BioGrid-Escherichia-Coli-K12-W3110.txt.gz,4063,181620,159,442,4.06
data/BioGrid-Far-Western.txt.gz,1199,1089,3,11,0.00
data/BioGrid-Fret.txt.gz,1700,2395,19,38,0.00
data/BioGrid-Gallus-Gallus.txt.gz,413,436,4,22,0.00
data/BioGrid-Glycine-Max.txt.gz,44,39,2,3,0.00
data/BioGrid-Hepatitus-C-Virus.txt.gz,136,134,1,2,0.00
data/BioGrid-Homo-Sapiens.txt.gz,24093,369767,71,802,2.07
data/BioGrid-Human-Herpesvirus-1.txt.gz,178,208,3,11,0.00
data/BioGrid-Human-Herpesvirus-4.txt.gz,323,326,2,6,0.00
data/BioGrid-Human-Herpesvirus-5.txt.gz,121,107,1,2,0.00
data/BioGrid-Human-Herpesvirus-8.txt.gz,716,691,3,6,0.00
data/BioGrid-Human-Immunodeficiency-Virus-1.txt.gz,1138,1319,3,43,0.00
data/BioGrid-Human-Immunodeficiency-Virus-2.txt.gz,19,15,1,2,0.00
data/BioGrid-Human-Papillomavirus-16.txt.gz,173,186,2,18,0.00
data/Cannes2013.txt.gz,438089,835892,27,3168,6.81
data/CoW-interstate.txt.gz,182,319,4,13,0.02
data/DNC-emails.txt.gz,1866,4384,17,74,0.00
data/EU-email-core.txt.gz,986,16064,34,162,0.02
data/JDK_dependency.txt.gz,6434,53658,65,707,0.09
data/JUNG-javax.txt.gz,6120,50290,65,619,0.05
data/NYClimateMarch2014.txt.gz,102378,327080,34,1037,3.36
data/NZ_legal.txt.gz,2141,15739,25,129,0.03
data/Noordin-terror-loc.txt.gz,127,190,3,7,0.00
data/Noordin-terror-orgas.txt.gz,129,181,3,11,0.00
data/Noordin-terror-relation.txt.gz,70,251,11,11,0.00
data/ODLIS.txt.gz,2900,16377,12,86,0.03
data/Opsahl-forum.txt.gz,899,7036,14,38,0.02
data/Opsahl-socnet.txt.gz,1899,13838,20,112,0.03
data/StackOverflow-tags.txt.gz,115,245,6,7,0.00
data/Y2H_union.txt.gz,1966,2705,4,30,0.00
data/Yeast.txt.gz,2361,7182,10,22,0.01
data/actor_movies.txt.gz,511463,1470404,14,217,5.49
data/advogato.txt.gz,5155,39285,25,216,0.06
data/airlines.txt.gz,235,1297,13,43,0.00
data/american_revolution.txt.gz,141,160,3,10,0.00
data/as-22july06.txt.gz,22963,48436,25,218,0.11
